checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,health_status,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,y
no checking,10,existing paid,education,727.0,500<=X<1000,>=7,4,male single,none,4,no known property,46,none,for free,1,skilled,1,yes,yes,good,,,0.4411482641198821,-0.5348790652049215,0.9346171915186557,0.8247340369950372,0.7703554861178245,0.7768165793576323,0.6990613276987926,0.23849412422350613,True
no checking,10,existing paid,new car,1309.0,no known savings,1<=X<4,4,male single,guarantor,4,life insurance,27,none,own,1,unskilled resident,1,none,yes,bad,-0.7628216058180127,0.9930351233488072,0.792534703728927,0.993663850035458,0.9868031701890482,0.8496915415658488,0.40130177378764376,0.1574182071096969,0.7627354926732518,0.7356775381520055,False
0<=X<200,48,no credits/all paid,business,12204.0,no known savings,1<=X<4,2,male single,none,2,car,48,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good,0.7814703602703698,-0.9328551344762055,0.5523723833677715,,0.06424188250951957,0.054057396918195,0.5950626459710843,0.45689948895930454,0.6912095571205695,0.3930161475284104,False
no checking,18,existing paid,used car,3378.0,no known savings,1<=X<4,2,male single,none,1,life insurance,31,none,own,1,skilled,1,yes,yes,good,0.04004739971561888,-0.8545227551574652,0.094609236884868,0.524258869082523,0.11497266236085957,0.7723229212526935,0.12698250541581912,0.7605227023696423,0.9728310435023892,0.34346976910462634,False
no checking,6,critical/other existing credit,radio/tv,700.0,no known savings,>=7,4,male single,none,4,no known property,36,none,for free,2,skilled,1,none,yes,good,-0.07779702633006289,0.502281951917018,0.595873426258946,0.9837888486407874,0.5448286926809305,0.0010047727226595304,0.45571687653274506,0.41453297191728977,0.71046416368789,0.5649261111271114,False
0<=X<200,12,no credits/all paid,retraining,1410.0,<100,1<=X<4,2,male single,none,2,real estate,31,none,own,1,unskilled resident,1,yes,yes,good,0.6542242525422897,-0.8465204707242782,0.0015039584781938032,,0.1837053009258327,0.3699442054524099,0.9044002479850469,0.000849735231480131,0.897704834725946,0.8953105603006034,False
no checking,48,delayed previously,radio/tv,7238.0,no known savings,>=7,3,male single,none,3,car,32,bank,own,2,skilled,2,none,yes,good,,-0.2895944139598694,0.8043717004336141,0.1765079783250925,0.11989132715618223,0.4618353293576627,0.5744327069378787,0.18495589773662136,0.8339269972335874,0.42850034033243223,False
0<=X<200,24,existing paid,new car,1355.0,<100,<1,3,female div/dep/mar,none,4,car,25,none,own,1,unskilled resident,1,yes,yes,bad,0.9977877888965301,-0.1731010890125011,0.643499467355208,-0.240953898977845,0.918925861022215,0.5009319459649072,0.20525255719673385,0.4832076558895846,0.7314540985287477,0.5216806148803808,True
no checking,36,existing paid,used car,4686.0,<100,1<=X<4,2,male single,none,2,no known property,32,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good,-0.9610964474210499,-0.4828500519490072,0.390617025071786,0.5374502089079579,0.20891315746115113,0.035095423310805174,0.18277697725696807,0.6448424119397111,0.5483084307849815,0.5373912161966783,False
no checking,27,delayed previously,business,5117.0,<100,4<=X<7,3,male single,none,4,car,26,none,own,2,skilled,1,none,yes,good,,0.9865220276689295,0.06419770371020969,0.9995433393108882,0.3852240663198522,0.763904324486963,0.3572282714678371,0.5331370780901822,0.9517520113899118,0.3952421469752446,False
0<=X<200,24,critical/other existing credit,furniture/equipment,4736.0,<100,<1,2,female div/dep/mar,none,4,car,25,bank,own,1,unskilled resident,1,none,yes,bad,0.18295939710512377,-0.962255210359581,0.6374695824677106,-0.9763811354344032,0.9067941999709804,0.3090685320011346,0.623004686361184,0.889182713684158,0.018383986938658947,0.6500351037721367,True
<0,36,existing paid,education,1977.0,no known savings,>=7,4,male single,none,4,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,-0.8767701428230694,-0.9430751439139838,0.12664152433935605,,0.7560915734244876,0.30785959408759755,0.1376954552020343,0.2562087246966539,0.0005572132471680646,0.14631140963779932,False
0<=X<200,24,existing paid,new car,2718.0,<100,1<=X<4,3,female div/dep/mar,none,4,life insurance,20,none,rent,1,unskilled resident,1,yes,yes,bad,,0.9468156881741125,0.5182715933347869,0.8468572278906776,0.03769049255828072,0.7250490647069417,0.4209631488492447,0.20348919510329655,0.6752837780099299,0.22402450254930828,False
<0,12,critical/other existing credit,new car,2171.0,<100,1<=X<4,4,male single,none,4,life insurance,38,bank,own,2,unskilled resident,1,none,no,good,0.9998271332860162,-0.9839281638319838,,0.35795402188891534,0.024920460084116414,0.3704368979245636,0.17973204794388886,0.8152971928007392,0.19687476520663105,0.45721562592001663,False
no checking,10,existing paid,new car,1287.0,no known savings,>=7,4,male single,co applicant,2,life insurance,45,none,own,1,unskilled resident,1,none,no,good,-0.4609148717914234,0.91898146478247,0.7860545553641758,0.8460316895851228,0.10173819169751308,0.6936735928751282,0.03600114519656339,0.14358733024282866,0.3364864121717348,0.2505627323499957,False
no checking,36,existing paid,business,7409.0,no known savings,>=7,3,male single,none,2,life insurance,37,none,own,2,skilled,1,none,yes,good,0.9724927187675543,-0.9813985473479473,,-0.6169269327066756,0.24228542424157284,0.3390241050036027,0.17711642051756893,0.1253116089646893,0.5926591394098826,0.9224534794937623,False
<0,12,existing paid,furniture/equipment,1858.0,<100,<1,4,female div/dep/mar,none,1,car,22,none,rent,1,skilled,1,none,yes,good,,0.5280238030062662,,-0.8404872730801027,0.05527748051294201,0.03738601145826892,0.9609990539163491,0.9274100133579948,0.20300445340056394,0.1050857794884894,False
>=200,10,critical/other existing credit,radio/tv,1347.0,no known savings,4<=X<7,4,male single,none,2,life insurance,27,none,own,2,skilled,1,yes,yes,good,-0.7078142299017519,,0.20381442230755142,-0.4359636357295226,0.29836981167453547,0.06410046371285238,0.9802735500272624,0.5602516995180882,0.75896237385451,0.9635624777395447,False
no checking,9,critical/other existing credit,new car,2134.0,<100,1<=X<4,4,male single,none,4,car,48,none,own,3,skilled,1,yes,yes,good,,,0.2073968113337472,0.9759318969989538,0.8544562064836262,0.490722669471366,0.4667897497863105,0.4540794253762389,0.9291993606050997,0.17000187089158125,False
no checking,36,critical/other existing credit,radio/tv,3342.0,no known savings,>=7,4,male single,none,2,car,51,none,own,1,skilled,1,yes,yes,good,-0.5411955330797911,-0.8410367238616256,0.5212443775717208,0.09060243840385816,0.5060329887214846,0.790921941200321,0.8380014483381911,0.43605743455657964,0.06846482956159494,0.6966928062803861,False
<0,9,critical/other existing credit,radio/tv,1138.0,<100,1<=X<4,4,male single,none,4,real estate,25,none,own,2,unskilled resident,1,none,yes,good,0.7333896320042764,-0.6618978139966148,0.34967883149835494,0.04816682939442093,0.640519165191056,0.43458281705752644,0.20509966170364613,0.25022121265892716,0.8818707570060066,0.13103697158523608,False
<0,36,all paid,furniture/equipment,2746.0,<100,>=7,4,male single,none,4,car,31,bank,own,1,skilled,1,none,yes,bad,0.800075781595244,-0.9966873154539297,0.7875321399963409,-0.812887389438853,0.6818381014425552,0.7759967456896564,0.12496948364773386,0.6347175387277706,0.6329327023011201,0.6166899512810677,True
no checking,6,critical/other existing credit,new car,250.0,>=1000,1<=X<4,2,female div/dep/mar,none,2,real estate,41,bank,own,2,unskilled resident,1,none,yes,good,-0.5067273572462266,0.9238928957113193,0.018382951413823963,,0.2357192420946469,0.2720432106106616,0.8604341734900174,0.9459545545812668,0.5722771803430077,0.23150785204647095,False
0<=X<200,18,critical/other existing credit,furniture/equipment,3612.0,<100,>=7,3,female div/dep/mar,none,4,life insurance,37,none,own,1,skilled,1,yes,yes,good,0.20937295357371968,0.2698947943308424,0.13726074898975713,-0.4082120109097042,0.03430178952678109,0.775482939137576,0.6716552991234255,0.01491124420684009,0.734843241414684,0.8389266255098228,False
no checking,9,existing paid,furniture/equipment,1388.0,<100,1<=X<4,4,female div/dep/mar,none,2,real estate,26,none,rent,1,skilled,1,none,yes,good,0.055692494651485076,0.2545672144924658,0.03768156950797547,,0.6386936836248426,0.8863158032817923,0.8028135811180809,0.0013176072633794833,0.7240786074390935,0.004950866378680585,False
0<=X<200,12,existing paid,radio/tv,1331.0,<100,<1,2,male single,none,1,car,22,stores,own,1,skilled,1,none,yes,bad,-0.9507387556567489,-0.5506459383635528,0.6251188390281797,-0.09849243082942832,0.5926181248688435,0.7237668604334871,0.4514116268138719,0.18116758970508706,0.5325533855002307,0.658286071258084,True
no checking,24,existing paid,radio/tv,5943.0,no known savings,<1,1,female div/dep/mar,none,1,car,44,none,own,2,skilled,1,yes,yes,bad,0.6048254351275754,,0.17876594406159438,0.26847160255038977,0.6977086539805688,0.5132098296179999,0.7821637008401161,0.6732079577830861,0.20523107913466765,0.9613290361321731,True
no checking,18,critical/other existing credit,used car,3850.0,<100,4<=X<7,3,male single,none,1,car,27,none,own,2,skilled,1,none,yes,good,0.7432535883029533,-0.7023694263915528,0.10156277294117787,0.9965778170206092,0.5612141138274638,0.925580753195972,0.5595902313435053,0.7480520265421774,0.556474312380654,0.06114049621040796,True
<0,21,existing paid,new car,3763.0,no known savings,4<=X<7,2,male single,co applicant,2,real estate,24,none,own,1,unskilled resident,1,none,no,good,-0.4426231368585126,0.8679899239621408,0.33017258914161746,-0.3560473905289161,0.4243473714208247,0.07642402013940475,0.914574913555865,0.6605856569321102,0.29607019849534655,0.5846063135995692,False
no checking,24,existing paid,retraining,937.0,<100,<1,4,male mar/wid,none,3,car,27,none,own,2,unskilled resident,1,none,yes,good,-0.7859300157275836,0.7950102980901728,0.1761918415533136,0.7761119771854778,0.008136313429432218,0.24166420446052606,0.7887554578126046,0.03493312662903714,0.33792541387560804,0.8107415340010808,False
<0,6,critical/other existing credit,radio/tv,1169.0,no known savings,>=7,4,male single,none,4,real estate,67,none,own,2,skilled,1,yes,yes,good,0.4117253091689118,-0.8513089014938864,0.05524933383665742,,0.5599978200976109,0.8544562032325718,0.49742426987418864,0.8977581254207173,0.16118916617088508,0.931742152598369,True
0<=X<200,27,delayed previously,used car,5965.0,<100,>=7,1,male single,none,2,car,30,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good,0.9606871861154983,0.7141948170764727,0.20161299406012131,,0.7788263428916091,0.27403824807008714,0.987780203937741,0.8459909568717363,0.5340970168421119,0.4963624915985526,True
no checking,36,delayed previously,business,9572.0,<100,<1,1,male div/sep,none,1,car,28,none,own,2,skilled,1,none,yes,bad,,,0.8306497129500238,0.3139321049946935,0.9612743171006208,0.15805445535142182,0.8138127180030286,0.5549928368646905,0.8417359985986936,0.2447011884463136,True
0<=X<200,48,no credits/all paid,business,14421.0,<100,1<=X<4,2,male single,none,2,car,25,none,own,1,skilled,1,yes,yes,bad,0.47768145112973165,-0.16415097465738454,0.7542139572136491,-0.3671643568646029,0.993647983118647,0.5881556849900698,0.2290000671663296,0.07191130930084433,0.18106663741075446,0.3652337168901354,True
no checking,36,delayed previously,furniture/equipment,7678.0,500<=X<1000,4<=X<7,2,female div/dep/mar,none,4,car,40,none,own,2,skilled,1,yes,yes,good,0.43038099907097616,0.37192223148526066,0.8011410345685128,0.4273629659494412,0.19141219587240177,0.10435641742321977,0.5025229285588694,0.26874275742904763,0.5586980914542924,0.3390782037521798,False
<0,15,no credits/all paid,new car,950.0,<100,>=7,4,male single,none,3,car,33,none,rent,2,skilled,2,none,yes,bad,0.33142771351829575,-0.7693292735086326,0.743307674789561,-0.7971806795584978,0.20042599990461207,0.8327605670782253,0.8886484149626127,0.2480090442475391,0.3001866494465538,0.6321442361562679,False
0<=X<200,15,existing paid,repairs,1514.0,100<=X<500,1<=X<4,4,male single,guarantor,2,real estate,22,none,own,1,skilled,1,none,yes,good,0.533977254623084,0.7710321737730891,,-0.8059965527523362,0.23366070012866824,0.6083205053727622,0.17745640449616218,0.23630272700905097,0.29004303200737,0.3489932006250783,False
<0,6,critical/other existing credit,new car,666.0,>=1000,4<=X<7,3,female div/dep/mar,none,4,real estate,39,none,own,2,unskilled resident,1,yes,yes,good,,0.3535647179298706,0.771929484481331,,0.2772658628629866,0.8441329591505405,0.20713391475663634,0.9090744201728442,0.3258577977745666,0.8798449023165867,True
no checking,15,critical/other existing credit,radio/tv,1316.0,500<=X<1000,1<=X<4,2,male mar/wid,none,2,life insurance,47,none,own,2,unskilled resident,1,none,yes,good,-0.8023536165069368,-0.9983464383922841,0.12464445507365005,0.8742991716705688,0.544513391961333,0.31518869276497885,0.6202440395976171,0.20516619991392693,0.11261480897132625,0.6560543410692357,False
no checking,12,existing paid,radio/tv,1262.0,<100,1<=X<4,3,male single,none,2,car,25,none,own,1,skilled,1,none,yes,good,0.44521750899025725,0.8463843296587287,,-0.5470528133280715,0.4077391234620412,0.9634885968091395,0.05594514572613585,0.9618051095071755,0.11022903386806304,0.9985198870918287,True
no checking,24,critical/other existing credit,furniture/equipment,5150.0,<100,>=7,4,male single,none,4,car,33,none,own,1,skilled,1,yes,yes,good,-0.9392421294235193,-0.31984731162680025,,,0.29676685569597683,0.39732246295632,0.8897111417268055,0.586874364656224,0.2308580019162072,0.31689036719777286,False
<0,24,no credits/all paid,furniture/equipment,4110.0,<100,>=7,3,male single,none,4,no known property,23,bank,rent,2,skilled,2,none,yes,bad,-0.2845972695707364,-0.7096089001779862,0.6222825950051808,0.9124010245209887,0.29770330453453775,0.763455984083295,0.6393959537173531,0.08579640752899542,0.02209987575654082,0.618167611438832,False
no checking,24,all paid,business,1559.0,<100,4<=X<7,4,male single,none,4,car,50,bank,own,1,skilled,1,yes,yes,good,-0.9417152447365104,0.6887614629480094,0.596147141291694,-0.42447327433070325,0.6981444583848708,0.8495822053001445,0.6881019450311602,0.04452448409377574,0.08420040438240495,0.6832142176418747,False
0<=X<200,6,critical/other existing credit,retraining,932.0,no known savings,4<=X<7,1,female div/dep/mar,none,3,life insurance,39,none,own,2,unskilled resident,1,none,yes,good,,0.8355385762521981,0.6624454994725678,0.8671786462265162,0.8580091822988126,0.6949525311294129,0.4327281954071286,0.5360876645893516,0.917768777489205,0.7049494625157202,True
0<=X<200,9,existing paid,radio/tv,1670.0,<100,<1,4,female div/dep/mar,none,2,car,22,none,own,1,skilled,1,yes,yes,bad,0.4154595236224058,,0.4362361955875147,0.3239642754332344,0.0473199127763646,0.7912694997008697,0.8097197690335548,0.31972220826650977,0.2842672904268879,0.13569621830110346,False
no checking,36,critical/other existing credit,furniture/equipment,7127.0,<100,<1,2,female div/dep/mar,none,4,life insurance,23,none,rent,2,skilled,1,yes,yes,bad,0.15115496757978517,0.8248794346358331,0.6424634795133374,,0.11565645499166977,0.13794962428227864,0.5481107079590603,0.07623160406119378,0.48220746347582,0.27137470890560356,False
no checking,24,existing paid,radio/tv,1552.0,<100,4<=X<7,3,male single,none,1,car,32,bank,own,1,skilled,2,none,yes,good,0.31783599414136376,0.2124309195114479,0.2037933950328587,-0.9278150592145491,0.32543340067779425,0.4291724054448267,0.44762240029447264,0.1655768885607538,0.9728361524910994,0.7871921977381452,False
no checking,24,existing paid,radio/tv,3621.0,100<=X<500,>=7,2,male single,none,4,car,31,none,own,2,skilled,1,none,yes,bad,,-0.8126789006373236,0.5308389747462209,0.8100619108650793,0.8747720432772084,0.42540031678362666,0.5720333091797585,0.32985873987852743,0.7272761452053065,0.3909893021881342,False
no checking,18,no credits/all paid,business,4165.0,<100,1<=X<4,2,male single,none,2,car,36,stores,own,2,skilled,2,none,yes,bad,-0.7840949478091378,-0.6052878016167337,,0.9813480066386661,0.7573334139446164,0.9419114728514626,0.10860077910767951,0.6939981157216847,0.8319315655359906,0.7716934501124382,True
no checking,12,existing paid,radio/tv,886.0,no known savings,1<=X<4,4,female div/dep/mar,none,2,car,21,none,own,1,skilled,1,none,yes,good,,-0.9998982156416947,0.2917636516454691,0.5336222501147667,0.5442617349306036,0.7631469400969901,0.18880909201744267,0.746147463984019,0.6446811982297476,0.5064814837207223,True
no checking,12,critical/other existing credit,radio/tv,797.0,no known savings,>=7,4,female div/dep/mar,none,3,life insurance,33,bank,own,1,unskilled resident,2,none,yes,bad,0.7267861986801514,-0.8680295572684986,0.709476757327222,0.975576682509218,0.9130827075987101,0.5722744336024763,0.7955219513483618,0.6452567969260132,0.5420330343336455,0.3996776528299546,True
no checking,15,delayed previously,used car,3594.0,<100,<1,1,female div/dep/mar,none,2,life insurance,46,none,own,2,unskilled resident,1,none,yes,good,0.6925209850944902,-0.9640602521985202,0.5311843509861807,-0.11949782887619512,0.38241209807662935,0.7791453821792622,0.2630419230836849,0.5269385188444603,0.7990818214270627,0.43378511722023316,False
0<=X<200,12,existing paid,furniture/equipment,951.0,100<=X<500,<1,4,female div/dep/mar,none,4,car,27,bank,rent,4,skilled,1,none,yes,bad,-0.49952940979320315,0.49757148859331723,0.16049207097870727,,0.5626861592496515,0.45672209161523125,0.15013177294933033,0.9996691799278105,0.14417490829713742,0.05167725929570188,True
no checking,12,existing paid,furniture/equipment,1768.0,<100,1<=X<4,3,male single,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,good,0.6108882624427644,0.9999999391944083,0.8348059402529803,,0.39533052386849665,0.01827289804441301,0.9909204519229159,0.4038530617388665,0.41874135651040933,0.015637707962998237,False
no checking,24,existing paid,new car,1525.0,>=1000,4<=X<7,4,female div/dep/mar,none,3,car,34,none,own,1,skilled,2,yes,yes,good,,0.33428744414853084,,0.5320739141465372,0.46839731046453825,0.12029188572099381,0.3649759463095319,0.7613805163270709,0.5077960070937956,0.4819363335433765,False
0<=X<200,24,critical/other existing credit,used car,7758.0,>=1000,>=7,2,female div/dep/mar,none,4,no known property,29,none,rent,1,skilled,1,none,yes,good,-0.2956512693891013,0.954607404180517,0.7458007118572959,,0.3615572113592447,0.30170277343084895,0.14340602651851764,0.9373033439310513,0.590014014251182,0.41886913628367195,False
no checking,4,critical/other existing credit,radio/tv,1503.0,<100,4<=X<7,2,male single,none,1,real estate,42,none,own,2,unskilled resident,2,none,yes,good,-0.9192482299306659,-0.479119101350121,0.22700380872658568,0.9890212164004847,0.8218020613063878,0.5455018241025439,0.6833674961873191,0.18272448002536656,0.3389248873241647,0.5307644512205842,False
0<=X<200,18,existing paid,business,2622.0,100<=X<500,1<=X<4,4,male single,none,4,car,34,none,own,1,skilled,1,none,yes,good,-0.6764208728802168,-0.24402292649371127,,0.8903113545105046,0.7539420165076473,0.07418824189624518,0.8314962743007601,0.9640943576292149,0.0531724608610844,0.7666260677648687,False
<0,18,existing paid,furniture/equipment,3650.0,<100,<1,1,female div/dep/mar,none,4,car,22,none,rent,1,skilled,1,none,yes,good,-0.013189219130282466,-0.715423345884201,0.5300826993918933,-0.9487287022218983,0.13636132120002287,0.08634458187168359,0.2535851355035549,0.26496108163063414,0.12176739469479214,0.9763088591871766,False
0<=X<200,45,existing paid,radio/tv,3031.0,100<=X<500,1<=X<4,4,male single,guarantor,4,life insurance,21,none,rent,1,skilled,1,none,yes,bad,0.9294960224736047,-0.1112795023628528,0.7762203341380871,-0.33207049985696097,0.9323754702313781,0.5307585320294748,0.847366154640171,0.012613421646467504,0.140088458894705,0.13883072598648583,True
no checking,12,existing paid,radio/tv,804.0,<100,>=7,4,male single,none,4,car,38,none,own,1,skilled,1,none,yes,good,,0.7804249049129411,0.2315402887415744,0.7173698483121667,0.3891413455663124,0.581711302133389,0.6135705239210728,0.8838880712732959,0.9140021404783542,0.40001311703494946,True
no checking,9,existing paid,new car,3577.0,100<=X<500,1<=X<4,1,male single,guarantor,2,real estate,26,none,rent,1,skilled,2,none,no,good,-0.8929765668951823,0.37565419668415784,0.28599345999757964,-0.9753583197216418,0.6656526485001997,0.22927888107525107,0.702991765999543,0.16380497710434805,0.2943476407141349,0.6692656229594639,False
<0,48,existing paid,domestic appliance,3051.0,<100,1<=X<4,3,male single,none,4,car,54,none,own,1,skilled,1,none,yes,bad,0.5207656750386118,0.15910624854047775,0.2056559275209671,-0.6178191957890964,0.37465125603092786,0.16971269412357004,0.8473160137690919,0.7547531377588154,0.1281844576015817,0.7698753154746936,True
<0,12,critical/other existing credit,furniture/equipment,2246.0,<100,>=7,3,male single,none,3,life insurance,60,none,own,2,skilled,1,none,yes,bad,0.9206933297677098,-0.9981530197543448,0.518001917329731,,0.142001178526157,0.40192875746381296,0.47769576847096273,0.7993454020321639,0.6957212517069186,0.31731438157818526,False
no checking,24,existing paid,radio/tv,3181.0,<100,<1,4,female div/dep/mar,none,4,life insurance,26,none,own,1,skilled,1,yes,yes,good,,0.833342959829689,,,0.442062893433782,0.7938438750552077,0.7622676042720333,0.25450417747564325,0.3691830550495453,0.08127165958923577,False
no checking,9,critical/other existing credit,new car,1224.0,<100,1<=X<4,3,male single,none,1,real estate,30,none,own,2,skilled,1,none,yes,good,0.06674249944548752,,0.05591596688673715,-0.9295804847603542,0.9077826067245549,0.4530461141122145,0.6012431774184698,0.0019600519303785147,0.08251121975858788,0.4635633393578147,False
no checking,12,existing paid,radio/tv,776.0,<100,1<=X<4,4,male mar/wid,none,2,real estate,28,none,own,1,skilled,1,none,yes,good,-0.9996265834096159,-0.6621157444581406,0.2924299267464795,-0.966174811587861,0.5368664302657317,0.07603363759703574,0.0005756147498089392,0.47814606596363207,0.19542036377855987,0.3374663857962409,False
0<=X<200,18,delayed previously,furniture/equipment,4297.0,<100,>=7,4,male div/sep,none,3,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad,0.8449757769464105,-0.5216133149997011,0.2288128471505571,-0.8559115530485601,0.3288649339329671,0.053750023086305165,0.45535327663224034,0.9638339513229145,0.24440620907723143,0.03691525159555176,False
no checking,12,existing paid,furniture/equipment,763.0,<100,1<=X<4,4,female div/dep/mar,none,1,real estate,26,none,own,1,skilled,1,yes,yes,good,-0.9972038023701522,0.009073664307707,0.596710829481061,0.9590499197045728,0.04492786598281129,0.8295434370556395,0.4966411829017924,0.6200843694789963,0.3963785595839746,0.5596931538824965,False
0<=X<200,24,existing paid,new car,1246.0,<100,<1,4,male single,none,2,real estate,23,stores,own,1,unskilled resident,1,none,yes,bad,,-0.9862522545527342,0.6427973825129657,-0.07098434427540679,0.12522479351472593,0.47022836531557455,0.009477531178837872,0.7621793635904991,0.5200606521282802,0.30099872637139746,True
>=200,6,critical/other existing credit,new car,1323.0,100<=X<500,>=7,2,male div/sep,none,4,car,28,none,own,2,skilled,2,yes,yes,good,,,0.08410094693036432,,0.7767706874289395,0.08355050082069648,0.9766405432368879,0.53312076090968,0.9573949264347261,0.48830807256873987,False
<0,30,existing paid,furniture/equipment,3108.0,<100,<1,2,male div/sep,none,4,life insurance,31,none,own,1,unskilled resident,1,none,yes,bad,-0.8293350586253458,-0.9242592082268271,0.41934908414226646,0.07761320553496687,0.24571393272395003,0.8326535445833559,0.0436410152094876,0.14996546774065322,0.35399626600133716,0.6046519595515651,True
no checking,39,existing paid,used car,2569.0,500<=X<1000,1<=X<4,4,male single,none,4,car,24,none,own,1,skilled,1,none,yes,good,-0.6215272987708742,0.973300429153863,0.047302255165863755,0.4899940817138978,0.36084001356234496,0.8027195797181356,0.7418594802991874,0.8226355436738018,0.7720988493188793,0.8071814896073223,True
<0,18,critical/other existing credit,furniture/equipment,1049.0,<100,<1,4,female div/dep/mar,none,4,life insurance,21,none,rent,1,skilled,1,none,yes,good,-0.6514029846205803,0.7193239630209711,,0.7065637320744237,0.6994954708144818,0.26746975803433215,0.22225518474019657,0.0899170303636253,0.5781357247578869,0.34893964331768945,False
